"it" "im" "dep" "meth" "out"
"1" 1 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"2" 1 1 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"3" 1 1 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"4" 1 1 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"5" 1 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"6" 1 1 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"7" 1 1 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"8" 1 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"9" 1 2 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"10" 1 2 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"11" 1 2 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"12" 1 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"13" 1 2 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"14" 1 2 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"15" 1 3 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"16" 1 3 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"17" 1 3 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"18" 1 3 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"19" 1 3 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"20" 1 3 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"21" 1 3 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"22" 1 4 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"23" 1 4 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"24" 1 4 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"25" 1 4 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"26" 1 4 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"27" 1 4 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"28" 1 4 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"29" 1 5 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"30" 1 5 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"31" 1 5 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"32" 1 5 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"33" 1 5 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"34" 1 5 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"35" 1 5 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"36" 1 6 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"37" 1 6 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"38" 1 6 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"39" 1 6 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"40" 1 6 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"41" 1 6 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"42" 1 6 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"43" 1 7 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"44" 1 7 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"45" 1 7 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"46" 1 7 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"47" 1 7 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"48" 1 7 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"49" 1 7 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"50" 1 8 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"51" 1 8 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"52" 1 8 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"53" 1 8 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"54" 1 8 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"55" 1 8 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"56" 1 8 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"57" 1 9 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"58" 1 9 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"59" 1 9 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
