"it" "im" "dep" "meth" "out"
"1" 2 1 "Coparent_item1_Father_Year5" "pmm" "Coparent_Total_Mother"
"2" 2 1 "Coparent_item2_Father_Year5" "pmm" "Coparent_Total_Mother"
"3" 2 1 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"4" 2 1 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"5" 2 1 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"6" 2 1 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"7" 2 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Mother"
"8" 2 1 "Coparent_item7_Father_Year5" "pmm" "mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
"9" 2 1 "Coparent_item8_Father_Year5" "pmm" "Coparent_Total_Mother"
"10" 2 1 "Coparent_item8_Father_Year5" "pmm" "mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
"11" 2 1 "Coparent_item1_Mother_Year5" "pmm" "Coparent_Total_Father"
"12" 2 1 "Coparent_item2_Mother_Year5" "pmm" "Coparent_Total_Father"
"13" 2 1 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"14" 2 1 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"15" 2 1 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"16" 2 1 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"17" 2 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother, Coparent_Total_Father"
"18" 2 1 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"19" 2 1 "Coparent_item8_Mother_Year5" "pmm" "mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
"20" 2 1 "Depression_item1_Father_Year5" "pmm" "Depression_Total_Mother"
"21" 2 1 "Depression_item2_Father_Year5" "pmm" "Depression_Total_Mother"
"22" 2 1 "Depression_item3_Father_Year5" "pmm" "Depression_Total_Mother"
"23" 2 1 "Depression_item4_Father_Year5" "pmm" "Depression_Total_Mother"
"24" 2 1 "Depression_item5_Father_Year5" "pmm" "Depression_Total_Mother"
"25" 2 1 "Depression_item6_Father_Year5" "pmm" "Depression_Total_Mother"
"26" 2 1 "Depression_item1_Mother_Year5" "pmm" "Depression_Total_Father"
"27" 2 1 "Depression_item2_Mother_Year5" "pmm" "Depression_Total_Father"
"28" 2 1 "Depression_item3_Mother_Year5" "pmm" "Depression_Total_Father"
"29" 2 1 "Depression_item4_Mother_Year5" "pmm" "Depression_Total_Father"
"30" 2 1 "Depression_item5_Mother_Year5" "pmm" "Depression_Total_Father"
"31" 2 1 "Depression_item6_Mother_Year5" "pmm" "Depression_Total_Father"
"32" 2 2 "Coparent_item1_Father_Year5" "pmm" "Coparent_Total_Mother"
"33" 2 2 "Coparent_item2_Father_Year5" "pmm" "Coparent_Total_Mother"
"34" 2 2 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"35" 2 2 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"36" 2 2 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"37" 2 2 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"38" 2 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Mother"
"39" 2 2 "Coparent_item7_Father_Year5" "pmm" "mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
"40" 2 2 "Coparent_item8_Father_Year5" "pmm" "Coparent_Total_Mother, Coparent_Total_Father"
"41" 2 2 "Coparent_item1_Mother_Year5" "pmm" "Coparent_Total_Father"
"42" 2 2 "Coparent_item2_Mother_Year5" "pmm" "Coparent_Total_Father"
"43" 2 2 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"44" 2 2 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"45" 2 2 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"46" 2 2 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"47" 2 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"48" 2 2 "Coparent_item7_Mother_Year5" "pmm" "mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
"49" 2 2 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"50" 2 2 "Coparent_item8_Mother_Year5" "pmm" "mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
"51" 2 2 "Depression_item1_Father_Year5" "pmm" "Depression_Total_Mother"
"52" 2 2 "Depression_item2_Father_Year5" "pmm" "Depression_Total_Mother"
"53" 2 2 "Depression_item3_Father_Year5" "pmm" "Depression_Total_Mother"
"54" 2 2 "Depression_item4_Father_Year5" "pmm" "Depression_Total_Mother"
"55" 2 2 "Depression_item5_Father_Year5" "pmm" "Depression_Total_Mother"
"56" 2 2 "Depression_item6_Father_Year5" "pmm" "Depression_Total_Mother"
"57" 2 2 "Depression_item1_Mother_Year5" "pmm" "Depression_Total_Father"
"58" 2 2 "Depression_item2_Mother_Year5" "pmm" "Depression_Total_Father"
"59" 2 2 "Depression_item3_Mother_Year5" "pmm" "Depression_Total_Father"
"60" 2 2 "Depression_item4_Mother_Year5" "pmm" "Depression_Total_Father"
"61" 2 2 "Depression_item5_Mother_Year5" "pmm" "Depression_Total_Father"
"62" 2 2 "Depression_item6_Mother_Year5" "pmm" "Depression_Total_Father"
"63" 2 3 "Coparent_item1_Father_Year5" "pmm" "Coparent_Total_Mother"
"64" 2 3 "Coparent_item2_Father_Year5" "pmm" "Coparent_Total_Mother"
"65" 2 3 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"66" 2 3 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"67" 2 3 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"68" 2 3 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"69" 2 3 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Mother"
"70" 2 3 "Coparent_item7_Father_Year5" "pmm" "mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
"71" 2 3 "Coparent_item8_Father_Year5" "pmm" "Coparent_Total_Mother"
"72" 2 3 "Coparent_item8_Father_Year5" "pmm" "mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
"73" 2 3 "Coparent_item1_Mother_Year5" "pmm" "Coparent_Total_Father"
"74" 2 3 "Coparent_item2_Mother_Year5" "pmm" "Coparent_Total_Father"
"75" 2 3 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"76" 2 3 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"77" 2 3 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"78" 2 3 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"79" 2 3 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother, Coparent_Total_Father"
"80" 2 3 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother, Coparent_Total_Father"
"81" 2 3 "Depression_item1_Father_Year5" "pmm" "Depression_Total_Mother"
"82" 2 3 "Depression_item2_Father_Year5" "pmm" "Depression_Total_Mother"
"83" 2 3 "Depression_item3_Father_Year5" "pmm" "Depression_Total_Mother"
"84" 2 3 "Depression_item4_Father_Year5" "pmm" "Depression_Total_Mother"
"85" 2 3 "Depression_item5_Father_Year5" "pmm" "Depression_Total_Mother"
"86" 2 3 "Depression_item6_Father_Year5" "pmm" "Depression_Total_Mother"
"87" 2 3 "Depression_item1_Mother_Year5" "pmm" "Depression_Total_Father"
"88" 2 3 "Depression_item2_Mother_Year5" "pmm" "Depression_Total_Father"
"89" 2 3 "Depression_item3_Mother_Year5" "pmm" "Depression_Total_Father"
"90" 2 3 "Depression_item4_Mother_Year5" "pmm" "Depression_Total_Father"
"91" 2 3 "Depression_item5_Mother_Year5" "pmm" "Depression_Total_Father"
"92" 2 3 "Depression_item6_Mother_Year5" "pmm" "Depression_Total_Father"
"93" 2 4 "Coparent_item1_Father_Year5" "pmm" "Coparent_Total_Mother"
"94" 2 4 "Coparent_item2_Father_Year5" "pmm" "Coparent_Total_Mother"
"95" 2 4 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"96" 2 4 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"97" 2 4 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"98" 2 4 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"99" 2 4 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Mother, Coparent_Total_Father"
"100" 2 4 "Coparent_item8_Father_Year5" "pmm" "Coparent_Total_Mother, Coparent_Total_Father"
"101" 2 4 "Coparent_item1_Mother_Year5" "pmm" "Coparent_Total_Father"
"102" 2 4 "Coparent_item2_Mother_Year5" "pmm" "Coparent_Total_Father"
"103" 2 4 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"104" 2 4 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"105" 2 4 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"106" 2 4 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"107" 2 4 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother, Coparent_Total_Father"
"108" 2 4 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"109" 2 4 "Coparent_item8_Mother_Year5" "pmm" "mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
"110" 2 4 "Depression_item1_Father_Year5" "pmm" "Depression_Total_Mother"
"111" 2 4 "Depression_item2_Father_Year5" "pmm" "Depression_Total_Mother"
"112" 2 4 "Depression_item3_Father_Year5" "pmm" "Depression_Total_Mother"
"113" 2 4 "Depression_item4_Father_Year5" "pmm" "Depression_Total_Mother"
"114" 2 4 "Depression_item5_Father_Year5" "pmm" "Depression_Total_Mother"
"115" 2 4 "Depression_item6_Father_Year5" "pmm" "Depression_Total_Mother"
"116" 2 4 "Depression_item1_Mother_Year5" "pmm" "Depression_Total_Father"
"117" 2 4 "Depression_item2_Mother_Year5" "pmm" "Depression_Total_Father"
"118" 2 4 "Depression_item3_Mother_Year5" "pmm" "Depression_Total_Father"
"119" 2 4 "Depression_item4_Mother_Year5" "pmm" "Depression_Total_Father"
"120" 2 4 "Depression_item5_Mother_Year5" "pmm" "Depression_Total_Father"
"121" 2 4 "Depression_item6_Mother_Year5" "pmm" "Depression_Total_Father"
"122" 2 5 "Coparent_item1_Father_Year5" "pmm" "Coparent_Total_Mother"
"123" 2 5 "Coparent_item2_Father_Year5" "pmm" "Coparent_Total_Mother"
"124" 2 5 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"125" 2 5 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"126" 2 5 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"127" 2 5 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"128" 2 5 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Mother, Coparent_Total_Father"
