"it" "im" "dep" "meth" "out"
"1" 1 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"2" 1 1 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"3" 1 1 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"4" 1 1 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"5" 1 1 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"6" 1 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"7" 1 1 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"8" 1 1 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"9" 1 1 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"10" 1 1 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"11" 1 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"12" 1 2 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"13" 1 2 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"14" 1 2 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"15" 1 2 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"16" 1 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"17" 1 2 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"18" 1 2 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"19" 1 2 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"20" 1 2 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"21" 1 3 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"22" 1 3 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"23" 1 3 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"24" 1 3 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"25" 1 3 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"26" 1 3 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"27" 1 3 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"28" 1 3 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"29" 1 3 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"30" 1 3 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"31" 1 4 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"32" 1 4 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"33" 1 4 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"34" 1 4 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"35" 1 4 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"36" 1 4 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"37" 1 4 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"38" 1 4 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"39" 1 4 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"40" 1 4 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"41" 1 5 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"42" 1 5 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"43" 1 5 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"44" 1 5 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"45" 1 5 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"46" 1 5 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"47" 1 5 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"48" 1 5 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"49" 1 5 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"50" 1 5 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"51" 1 6 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"52" 1 6 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"53" 1 6 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"54" 1 6 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"55" 1 6 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"56" 1 6 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"57" 1 6 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"58" 1 6 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"59" 1 6 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"60" 1 6 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"61" 1 7 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"62" 1 7 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"63" 1 7 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"64" 1 7 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"65" 1 7 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"66" 1 7 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"67" 1 7 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"68" 1 7 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"69" 1 7 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"70" 1 7 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"71" 1 8 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"72" 1 8 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"73" 1 8 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"74" 1 8 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"75" 1 8 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"76" 1 8 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"77" 1 8 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"78" 1 8 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"79" 1 8 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"80" 1 8 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"81" 1 9 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"82" 1 9 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"83" 1 9 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"84" 1 9 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"85" 1 9 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"86" 1 9 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"87" 1 9 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"88" 1 9 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"89" 1 9 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"90" 1 9 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"91" 1 10 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"92" 1 10 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"93" 1 10 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"94" 1 10 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"95" 1 10 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"96" 1 10 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"97" 1 10 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"98" 1 10 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"99" 1 10 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"100" 1 10 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"101" 1 11 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"102" 1 11 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"103" 1 11 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"104" 1 11 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"105" 1 11 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"106" 1 11 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"107" 1 11 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"108" 1 11 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"109" 1 11 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"110" 1 11 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"111" 1 12 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"112" 1 12 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
