"it" "im" "dep" "meth" "out"
"1" 1 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"2" 1 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"3" 1 1 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"4" 1 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"5" 1 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"6" 1 2 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"7" 1 3 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"8" 1 3 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"9" 1 3 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"10" 1 3 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"11" 1 3 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"12" 1 3 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"13" 1 3 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"14" 1 4 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"15" 1 4 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"16" 1 4 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"17" 1 4 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"18" 1 4 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"19" 1 4 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"20" 1 4 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"21" 1 5 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"22" 1 5 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"23" 1 5 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"24" 1 5 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"25" 1 5 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"26" 1 5 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"27" 1 5 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"28" 1 6 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"29" 1 6 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"30" 1 6 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"31" 1 6 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"32" 1 6 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother, Coparent_Total_Father"
"33" 1 6 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"34" 1 6 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"35" 1 7 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"36" 1 7 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"37" 1 7 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"38" 1 7 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"39" 1 7 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother, Coparent_Total_Father"
"40" 1 7 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"41" 1 7 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"42" 1 8 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"43" 1 8 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"44" 1 8 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"45" 1 8 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"46" 1 8 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"47" 1 8 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"48" 1 9 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"49" 1 9 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"50" 1 9 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"51" 1 9 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"52" 1 9 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"53" 1 9 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"54" 1 10 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"55" 1 10 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"56" 1 10 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"57" 1 10 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"58" 1 10 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"59" 1 10 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"60" 1 10 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"61" 1 11 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"62" 1 11 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"63" 1 11 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"64" 1 11 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"65" 1 11 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"66" 1 11 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"67" 1 11 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"68" 1 12 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"69" 1 12 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"70" 1 13 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"71" 1 13 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"72" 1 13 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"73" 1 13 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"74" 1 13 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"75" 1 13 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"76" 1 13 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"77" 1 14 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"78" 1 14 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"79" 1 14 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"80" 1 14 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"81" 1 14 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"82" 1 14 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"83" 1 14 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"84" 1 15 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"85" 1 15 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"86" 1 15 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"87" 1 15 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"88" 1 15 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"89" 1 15 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"90" 2 1 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"91" 2 1 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"92" 2 1 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"93" 2 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"94" 2 1 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"95" 2 1 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"96" 2 1 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"97" 2 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"98" 2 1 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"99" 2 1 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"100" 2 2 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"101" 2 2 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"102" 2 2 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
