"it" "im" "dep" "meth" "out"
"1" 1 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"2" 1 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"3" 1 1 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"4" 1 2 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"5" 1 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"6" 1 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"7" 1 2 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"8" 1 2 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"9" 1 3 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"10" 1 3 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"11" 1 3 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"12" 1 3 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"13" 1 3 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"14" 1 4 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"15" 1 4 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"16" 1 4 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"17" 1 4 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"18" 1 4 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"19" 1 5 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"20" 1 5 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"21" 1 5 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"22" 1 5 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"23" 1 5 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"24" 1 6 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"25" 1 6 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"26" 1 6 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"27" 1 6 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"28" 1 6 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"29" 1 7 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"30" 1 7 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"31" 1 7 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"32" 1 7 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"33" 1 7 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"34" 1 8 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"35" 1 8 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"36" 1 8 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"37" 1 8 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"38" 1 8 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"39" 1 9 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"40" 1 9 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"41" 1 9 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"42" 1 9 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"43" 1 9 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"44" 1 10 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"45" 1 10 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"46" 1 10 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"47" 1 10 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"48" 1 10 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"49" 1 11 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"50" 1 11 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"51" 1 11 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"52" 1 12 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"53" 1 12 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"54" 1 12 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"55" 1 12 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"56" 1 12 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"57" 1 13 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"58" 1 13 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"59" 1 13 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"60" 1 13 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"61" 1 13 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"62" 1 14 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"63" 1 14 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"64" 1 14 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"65" 1 14 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"66" 1 14 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"67" 1 15 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"68" 1 15 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"69" 1 15 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"70" 1 15 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"71" 1 15 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"72" 2 1 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"73" 2 1 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"74" 2 1 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"75" 2 1 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"76" 2 1 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"77" 2 1 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"78" 2 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"79" 2 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"80" 2 1 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"81" 2 1 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"82" 2 2 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"83" 2 2 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"84" 2 2 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"85" 2 2 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"86" 2 2 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"87" 2 2 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"88" 2 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"89" 2 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"90" 2 2 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"91" 2 2 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"92" 2 3 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"93" 2 3 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"94" 2 3 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"95" 2 3 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"96" 2 3 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"97" 2 3 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"98" 2 3 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"99" 2 3 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"100" 2 3 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"101" 2 3 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"102" 2 4 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"103" 2 4 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
