"it" "im" "dep" "meth" "out"
"1" 1 1 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"2" 1 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"3" 1 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"4" 1 1 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"5" 1 1 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"6" 1 1 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"7" 1 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"8" 1 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"9" 1 2 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"10" 1 2 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"11" 1 3 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"12" 1 3 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"13" 1 3 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"14" 1 3 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"15" 1 3 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"16" 1 3 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"17" 1 4 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"18" 1 4 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"19" 1 4 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"20" 1 4 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"21" 1 4 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"22" 1 4 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"23" 1 5 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"24" 1 5 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"25" 1 5 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"26" 1 5 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"27" 1 5 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"28" 1 5 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"29" 1 6 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"30" 1 6 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"31" 1 6 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"32" 1 6 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"33" 1 6 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"34" 1 6 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"35" 1 7 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"36" 1 7 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"37" 1 7 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"38" 1 7 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"39" 1 7 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"40" 1 7 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"41" 1 8 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"42" 1 8 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"43" 1 8 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"44" 1 8 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"45" 1 8 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"46" 1 8 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"47" 1 9 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"48" 1 9 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"49" 1 9 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"50" 1 9 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"51" 1 9 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"52" 1 9 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"53" 1 10 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"54" 1 10 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"55" 1 10 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"56" 1 10 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"57" 1 10 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"58" 1 10 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"59" 1 11 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"60" 1 11 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"61" 1 11 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"62" 1 11 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"63" 1 11 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"64" 1 11 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"65" 1 12 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"66" 1 12 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"67" 1 12 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"68" 1 12 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"69" 1 12 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"70" 1 12 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"71" 1 13 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"72" 1 13 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"73" 1 13 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"74" 1 13 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"75" 1 13 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"76" 1 13 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"77" 1 14 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"78" 1 14 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"79" 1 14 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"80" 1 14 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
