"it" "im" "dep" "meth" "out"
"1" 2 1 "CBCLAgg10_PrimaryCaregiver_Year5" "pmm" "CBCL_EmoDysreg_Total"
"2" 2 1 "CBCLAgg13_Mother_Year5" "pmm" "Coparent_Total_Mother"
"3" 2 1 "CBCLAgg16_Mother_Year5" "pmm" "Coparent_Total_Mother"
"4" 2 1 "CBCLAgg17_PrimaryCaregiver_Year5" "pmm" "CBCL_EmoDysreg_Total"
"5" 2 1 "CBCLAgg4_Mother_Year5" "pmm" "Coparent_Total_Mother"
"6" 2 1 "CBCLAnxDep11_Mother_Year5" "pmm" "Coparent_Total_Mother"
"7" 2 1 "CBCLAnxDep2_Mother_Year5" "pmm" "Coparent_Total_Mother"
"8" 2 1 "CBCLAnxDep5_PrimaryCaregiver_Year5" "pmm" "CBCL_EmoDysreg_Total"
"9" 2 1 "CBCLAnxDep6_Mother_Year5" "pmm" "Coparent_Total_Mother"
"10" 2 1 "CBCLAnxDep7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"11" 2 1 "CBCLAtt1_Mother_Year5" "pmm" "Coparent_Total_Mother"
"12" 2 1 "CBCLAtt2_Mother_Year5" "pmm" "Coparent_Total_Mother"
"13" 2 1 "CBCLAtt3_Mother_Year5" "pmm" "Coparent_Total_Mother"
"14" 2 1 "CBCLAtt4_PrimaryCaregiver_Year5" "pmm" "CBCL_EmoDysreg_Total"
"15" 2 1 "CBCLAtt8_PrimaryCaregiver_Year5" "pmm" "CBCL_EmoDysreg_Total"
"16" 2 1 "FathersAge_Father_Baseline" "pmm" "Coparent_Total_Father"
"17" 2 1 "FathersEdu_Father_Baseline" "polyreg" "Coparent_Total_Father"
"18" 2 1 "FathersPoverty_Father_Baseline" "pmm" "Coparent_Total_Father"
"19" 2 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"20" 2 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"21" 2 1 "Coparent_item8_Father_Year5" "pmm" "Coparent_Total_Father"
"22" 2 1 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"23" 2 2 "CBCLAgg10_PrimaryCaregiver_Year5" "pmm" "CBCL_EmoDysreg_Total"
"24" 2 2 "CBCLAgg13_Mother_Year5" "pmm" "Coparent_Total_Mother"
"25" 2 2 "CBCLAgg16_Mother_Year5" "pmm" "Coparent_Total_Mother"
"26" 2 2 "CBCLAgg17_PrimaryCaregiver_Year5" "pmm" "CBCL_EmoDysreg_Total"
"27" 2 2 "CBCLAgg4_Mother_Year5" "pmm" "Coparent_Total_Mother"
"28" 2 2 "CBCLAnxDep11_Mother_Year5" "pmm" "Coparent_Total_Mother"
"29" 2 2 "CBCLAnxDep2_Mother_Year5" "pmm" "Coparent_Total_Mother"
"30" 2 2 "CBCLAnxDep5_PrimaryCaregiver_Year5" "pmm" "CBCL_EmoDysreg_Total"
"31" 2 2 "CBCLAnxDep6_Mother_Year5" "pmm" "Coparent_Total_Mother"
